0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Disease,Source Type,Survey Ref,SurveyUrl,Article,Studies,n, n with disease,Group,Clinical Feature,CI LR+,LR+,LR+ floor,LR+ ceilling,CI LR-,LR-,LR- floor,LR- ceiling,Title
Acute Coronary Syndrome,Article,Sharif2017,http://art,compilation,3,6034,,Cardiac risk factors,Peripheral arterial disease,95%,2.70,1.50,4.80,95%,0.96,0.94,0.98,Does This Patient With Chest Pain Have Acute Coronary Syndrome
Acute Coronary Syndrome,Article,Sharif2017,http://art,compilation,1,2718,,Chest pain characteristics,Pain similar to previous ischemia,95%,2.20,2.00,2.60,95%,0.67,0.6,0.74,Does This Patient With Chest Pain Have Acute Coronary Syndrome
Acute Coronary Syndrome,Article,Sharif2017,http://art,compilation,1,2718,,Chest pain characteristics,Change in pattern during 24h,95%,2.00,1.60,2.50,95%,0.84,0.79,0.9,Does This Patient With Chest Pain Have Acute Coronary Syndrome
Acute Coronary Syndrome,Article,Sharif2017,http://art,compilation,1,839,,Physical examination elements,Pain reproduced by palpation,95%,0.28,0.14,0.54,95%,1.20,1,1.2,Does This Patient With Chest Pain Have Acute Coronary Syndrome
Acute Coronary Syndrome,Article,Sharif2017,http://art,compilation,7,16559,,Performance of ECG,Ischemic ECG,95%,3.60,1.60,5.70,95%,0.74,0.68,0.81,Does This Patient With Chest Pain Have Acute Coronary Syndrome
Aortic Dissection,Article,klompas2002,http://articleb,Chan1991,1,40,18,Clinical feature,History of hypertension,95%,1.50,0.80,3.00,95%,0.70,0.4,1.3,Does This Patient Have an Acute Thoracic Aortic Dissection?
Aortic Dissection,Article,klompas2002,http://articleb,Enia1989,1,46,35,Clinical feature,History of hypertension,95%,1.10,0.70,1.60,95%,0.70,0.4,2.4,Does This Patient Have an Acute Thoracic Aortic Dissection?
Aortic Dissection,Article,klompas2002,http://articleb,VonKodolitsch2000,1,250,128,Clinical feature,History of hypertension,95%,1.80,1.40,2.30,95%,0.40,0.3,0.6,Does This Patient Have an Acute Thoracic Aortic Dissection?
Aortic Dissection,Article,klompas2002,http://articleb,compilation,3,336,181,Clinical feature,History of hypertension,95%,1.60,1.20,2.00,95%,0.50,0.3,0.7,Does This Patient Have an Acute Thoracic Aortic Dissection?
Aortic Dissection,Article,klompas2002,http://articleb,Chan1991,1,40,18,Clinical feature,Sudden chest pain,95%,1.00,0.70,1.40,95%,0.98,0.3,3.1,Does This Patient Have an Acute Thoracic Aortic Dissection?
Aortic Dissection,Article,klompas2002,http://articleb,Armstrong1998,1,75,34,Clinical feature,Sudden chest pain,95%,1.50,1.10,1.90,95%,0.30,0.1,0.8,Does This Patient Have an Acute Thoracic Aortic Dissection?
